Raw Ext Mean,Env Ext Mean,Raw Flex Mean,Env Flex Mean,Raw Ext Var,Env Ext Var,Raw Flex Var,Env Flex Var
2.57,1.13,2.47,1.79,0.19,0.02,0.2,0.02
2.53,0.86,2.51,1.71,0.17,0.02,0.07,0.05
2.53,0.78,2.5,0.96,0.16,0.01,0.02,0.05
2.5,0.75,2.51,0.52,0.16,0.01,0.03,0.01
2.49,0.74,2.48,0.5,0.2,0,0.04,0
2.52,0.69,2.46,0.55,0.17,0.01,0.03,0
2.57,1.31,2.48,0.64,0.09,1.63,0.01,0
2.6,3.36,2.49,1.03,0.2,1.65,0.03,0.03
2.52,4.72,2.48,1.71,0.26,0.04,0.03,0.04
2.48,3.58,2.48,2,0.25,0.27,0.02,0.01
2.52,1.85,2.48,1.67,0.43,0.27,0.03,0.02
2.56,1.25,2.48,1.18,0.43,0.02,0.03,0.02
2.55,1.37,2.48,0.74,0.44,0.01,0.02,0.01
2.55,1.36,2.48,0.51,0.37,0.01,0.01,0
2.55,1.25,2.48,0.44,0.37,0.02,0.01,0
2.51,1.68,2.48,0.42,0.36,0.29,0.01,0.01
2.5,2.58,2.5,0.83,0.16,0.32,0.09,0.06
2.51,2.94,2.48,1.81,0.12,0.04,0.19,0.09
2.51,2.56,2.47,2.51,0.09,0.02,0.23,0.05
2.5,2.1,2.47,2.31,0.09,0.02,0.21,0.03
2.49,1.95,2.48,1.91,0.11,0.01,0.46,0.03
2.49,1.97,2.52,1.87,0.12,0.01,0.58,0.02
2.49,1.81,2.58,1.76,0.11,0.01,0.46,0.02
2.5,1.54,2.53,1.61,0.07,0.01,0.37,0.07
2.55,1.62,2.47,1.11,0.47,0.08,0.14,0.06
2.53,2.7,2.47,0.95,0.72,0.55,0.04,0.06
2.49,4.15,2.47,1.59,0.53,0.48,0.05,0.06
2.5,4.07,2.48,1.84,0.4,0.26,0.03,0.01
2.49,2.52,2.48,1.47,0.47,0.28,0.01,0.02
2.53,1.44,2.48,0.96,0.49,0.03,0.01,0.01
2.52,1.11,2.49,0.6,0.38,0.01,0.01,0.01
2.5,1.06,2.49,0.47,0.48,0.02,0.01,0.01
2.53,0.95,2.48,0.62,0.33,0.02,0.01,0.01
2.52,1.28,2.45,1.02,0.18,0.09,0.12,0.07
2.51,2,2.45,1.99,0.18,0.08,0.19,0.14
2.52,1.93,2.47,3.16,0.11,0.03,0.14,0.1
2.53,1.41,2.49,3.51,0.12,0.03,0.17,0.06
2.5,1.13,2.5,2.91,0.1,0,0.21,0.06
2.5,1.02,2.46,2.17,0.12,0,0.23,0.03
2.51,0.93,2.49,1.88,0.1,0,0.23,0.01
2.49,0.8,2.53,1.72,0.06,0,0.23,0.01
2.5,0.88,2.48,1.44,0.25,0.12,0.17,0.04
2.54,1.46,2.48,1.03,0.59,0.13,0.06,0.04
2.5,2.05,2.48,0.94,0.9,0.03,0.04,0.01
2.5,1.95,2.47,0.9,0.92,0.06,0.03,0.02
2.51,1.55,2.49,0.54,0.61,0.05,0.01,0.01
