Ext Mean,Flex Mean,Ext Var,Flex Var,Gesture
0.19,0.69,0.1,0.21,
0.54,0.56,0.44,0.07,
0.76,0.49,0.48,0.03,
0.6,0.5,0.21,0.04,
0.46,0.96,0.2,0.03,
0.54,1.8,0.28,0.02,
0.59,1.74,0.3,0.01,
0.51,0.98,0.34,0.01,
0.52,0.87,0.43,0.01,
0.51,1.18,0.35,0.01,
0.52,1.25,0.25,0.01,
0.54,1.2,0.22,0.01,
0.52,1.13,0.21,0.04,
0.56,1.15,0.28,0.06,
0.53,1.27,0.29,0.03,
0.48,1.31,0.23,0.02,
0.5,1.26,0.33,0.02,
0.58,0.25,0.61,0.01,
0.72,0.27,0.6,0.01,
0.51,0.25,0.14,0.01,
0.5,0.24,0.36,0.01,
0.64,0.23,0.52,0.01,
0.62,0.21,0.44,0,
0.82,0.22,0.82,0,
0.88,0.23,0.83,0.01,
0.65,0.23,0.36,0.01,
0.6,0.25,0.35,0.01,
0.56,0.25,0.32,0.01,
0.47,0.26,0.24,0.01,
0.46,0.24,0.36,0.01,
0.45,0.22,0.3,0,
0.4,0.21,0.13,0,
0.38,0.21,0.14,0,
0.37,0.22,0.2,0,
0.33,0.28,0.13,0,
0.32,0.42,0.14,0,
0.38,0.65,0.17,0,
0.38,0.71,0.12,0,
0.39,0.67,0.15,0,
0.44,0.75,0.19,0,
0.48,0.68,0.19,0,
0.49,0.43,0.16,0,
0.36,0.27,0.11,0,
0.28,0.28,0.1,0,
0.24,0.68,0.08,0,
0.18,1.44,0.05,0.01,
0.21,1.94,0.07,0.01,
0.19,1.94,0.06,0,
0.13,1.64,0.02,0,
0.1,1.44,0.01,0,
0.09,1.23,0.02,0,
0.09,0.94,0.02,0,
0.09,1,0.01,0,
0.08,1.16,0.01,0,
0.08,1.23,0.02,0,
0.16,1.25,0.12,0,
0.26,1.11,0.4,0.01,
0.55,0.87,0.55,0.04,
1.37,0.86,1.83,0.28,S
1.98,1,2.9,0.35,S
1.95,0.95,2.61,0.17,S
1.73,0.82,1.8,0.12,
1.49,0.72,1.5,0.12,
1.32,0.73,1.58,0.15,
1.32,0.79,1.5,0.22,
1.44,0.86,2.03,0.31,
1.33,0.83,1.43,0.31,
1.02,0.76,0.65,0.13,
0.71,0.71,0.47,0.06,
0.93,0.56,1.05,0.08,
1.48,0.52,2.28,0.07,P
1.38,0.58,1.82,0.06,P
1,0.64,0.81,0.06,
0.87,0.71,0.72,0.05,
0.86,0.7,0.76,0.06,
0.74,0.62,0.56,0.05,
0.68,0.55,0.51,0.05,
0.65,0.53,0.51,0.04,
0.55,0.5,0.36,0.03,
0.53,0.43,0.3,0.02,
0.65,1.03,0.55,1.1,
1.14,1.75,1.31,1.42,S
1.45,1.47,1.45,0.5,S
1.24,0.9,0.96,0.22,
1.01,0.69,0.79,0.11,
1,0.68,0.95,0.12,
1.02,0.7,1.09,0.1,
1.09,0.74,1.04,0.09,
1.15,0.79,1.03,0.1,
1.18,0.81,1.1,0.12,
1.2,0.81,0.97,0.15,
1.06,0.82,0.79,0.12,
0.78,0.81,0.59,0.04,
0.72,1.14,0.68,0.37,R
0.7,1.73,0.57,1.14,R
0.44,1.67,0.13,1.14,R
0.35,1.2,0.08,0.5,
0.37,1.04,0.07,0.3,
0.34,1.04,0.08,0.33,
0.34,1.02,0.11,0.32,
0.3,0.9,0.1,0.25,
0.24,0.83,0.08,0.23,
0.25,0.82,0.08,0.2,
0.25,0.82,0.09,0.23,
0.21,0.79,0.08,0.23,
0.36,0.68,0.64,0.25,
1.41,0.68,3.23,0.3,
2.59,0.84,4.28,0.39,S
2.46,0.89,2.82,0.4,S
