raw extension,env ext,raw flex,env flex
2.7,0.52,2.67,3.34
2.9,0.53,2.61,3.38
2.61,0.53,2.56,3.42
2.49,0.54,2.5,3.43
2.98,0.55,2.56,3.44
2.89,0.54,2.56,3.45
2.77,0.52,2.55,3.44
2.97,0.51,2.65,3.45
2.9,0.51,2.57,3.47
2.9,0.53,2.56,3.48
2.74,0.54,2.61,3.51
2.6,0.53,2.53,3.51
2.92,0.53,2.56,3.51
2.7,0.54,2.57,3.5
2.76,0.54,2.57,3.5
2.89,0.52,2.62,3.51
2.87,0.51,2.58,3.52
2.87,0.5,2.56,3.52
2.88,0.5,2.62,3.52
2.4,0.51,2.54,3.52
3.05,0.51,2.61,3.51
2.6,0.52,2.61,3.5
2.86,0.55,2.6,3.5
3.41,0.55,2.57,3.5
3.06,0.61,2.56,3.5
2.42,0.62,2.56,3.49
1.9,0.67,2.53,3.48
3.22,0.73,2.63,3.46
3.2,0.71,2.55,3.45
2.89,0.7,2.59,3.44
2.74,0.69,2.58,3.42
2.89,0.67,2.52,3.4
2.73,0.65,2.67,3.38
2.81,0.63,2.62,3.37
2.82,0.62,2.56,3.37
3.06,0.62,2.56,3.37
2.94,0.62,2.53,3.35
2.81,0.62,2.65,3.35
2.77,0.63,2.5,3.34
2.82,0.61,2.57,3.31
2.94,0.6,2.75,3.3
2.56,0.62,2.64,3.33
3.03,0.62,2.48,3.32
2.89,0.6,2.46,3.29
3.54,0.64,2.59,3.26
2.17,0.71,2.62,3.25
1.89,0.75,2.61,3.23
3.12,0.8,2.48,3.2
3.17,0.79,2.58,3.17
3.09,0.78,2.61,3.15
2.88,0.78,2.54,3.12
2.12,0.78,2.59,3.11
3.52,0.8,2.59,3.08
2.92,0.87,2.63,3.08
2.49,0.87,2.6,3.08
1.64,1.01,2.39,3.04
3.54,1.02,2.53,2.98
3.11,1.01,2.58,2.94
2.88,1.01,2.64,2.9
2.44,0.99,2.83,2.9
2.92,1,2.53,2.92
3.07,0.97,2.32,2.92
2.73,0.94,2.49,2.85
2.82,0.91,2.64,2.83
2.72,0.89,2.55,2.8
2.74,0.87,2.55,2.77
2.98,0.85,2.59,2.73
2.82,0.84,2.62,2.7
3.32,0.82,2.64,2.68
3.25,0.86,2.87,2.68
2.67,0.89,2.42,2.7
2.14,0.89,2.52,2.71
2.74,0.93,2.53,2.67
3.34,0.93,2.52,2.63
2.58,0.92,2.57,2.59
3.12,0.91,2.57,2.55
2.83,0.9,2.65,2.51
3.02,0.89,2.58,2.5
2.56,0.87,2.54,2.46
2.92,0.85,2.59,2.44
2.82,0.84,2.59,2.42
2.66,0.82,2.55,2.39
2.8,0.8,2.6,2.35
2.85,0.78,2.55,2.32
2.7,0.76,2.61,2.28
2.83,0.75,2.66,2.25
2.87,0.73,2.66,2.24
2.89,0.71,2.63,2.26
3.2,0.71,2.36,2.24
2.57,0.76,2.61,2.19
2.66,0.73,2.64,2.17
2.38,0.73,2.55,2.16
3.16,0.75,2.51,2.14
2.84,0.72,2.71,2.12
2.83,0.7,2.57,2.1
2.86,0.67,2.55,2.07
2.79,0.65,2.59,2.05
2.8,0.64,2.55,2.03
2.72,0.62,2.54,2
2.95,0.62,2.58,1.98
2.92,0.63,2.56,1.96
2.53,0.65,2.61,1.94
2.88,0.65,2.56,1.92
2.72,0.64,2.62,1.88
2.74,0.62,2.59,1.86
2.8,0.6,2.58,1.84
2.74,0.59,2.56,1.82
3,0.57,2.55,1.77
3.15,0.59,2.61,1.77
2.65,0.6,2.6,1.75
2.51,0.59,2.63,1.74
2.92,0.6,2.58,1.73
3.24,0.62,2.57,1.72
2.36,0.63,2.56,1.7
2.84,0.63,2.58,1.67
2.93,0.61,2.56,1.65
2.94,0.61,2.57,1.63
2.46,0.61,2.61,1.61
2.85,0.6,2.44,1.59
2.89,0.59,2.57,1.55
2.83,0.59,2.65,1.54
2.89,0.61,2.56,1.54
2.8,0.6,2.57,1.52
2.69,0.58,2.59,1.51
2.91,0.58,2.59,1.49
2.48,0.58,2.56,1.47
3.03,0.61,2.54,1.44
2.97,0.6,2.58,1.42
2.8,0.59,2.59,1.4
2.96,0.59,2.57,1.38
2.85,0.58,2.61,1.37
2.66,0.57,2.52,1.35
3.06,0.56,2.6,1.31
2.99,0.61,2.59,1.3
2.66,0.61,2.58,1.29
2.26,0.62,2.68,1.28
2.99,0.62,2.49,1.27
2.93,0.62,2.56,1.25
2.8,0.6,2.69,1.22
2.9,0.59,2.6,1.22
2.82,0.58,2.5,1.21
2.85,0.57,2.55,1.2
2.95,0.57,2.65,1.19
2.56,0.58,2.51,1.19
2.98,0.58,2.59,1.16
2.89,0.56,2.68,1.16
2.8,0.55,2.48,1.16
2.76,0.53,2.59,1.13
2.97,0.53,2.59,1.12
2.99,0.54,2.61,1.11
2.95,0.57,2.63,1.11
2.17,0.58,2.57,1.12
2.99,0.59,2.41,1.12
3.09,0.59,2.64,1.1
2.52,0.6,2.56,1.09
2.86,0.61,2.59,1.09
2.99,0.59,2.57,1.08
2.97,0.61,2.59,1.07
2.75,0.62,2.59,1.07
2.5,0.61,2.59,1.07
2.97,0.63,2.53,1.06
2.89,0.61,2.55,1.05
3.02,0.6,2.62,1.04
2.81,0.59,2.55,1.04
2.71,0.58,2.55,1.03
2.86,0.57,2.55,1.02
2.57,0.55,2.6,1.01
2.77,0.55,2.47,1
2.99,0.54,2.68,0.98
2.8,0.53,2.59,0.98
2.82,0.53,2.6,0.97
2.91,0.51,2.59,0.97
2.82,0.51,2.57,0.96
2.74,0.5,2.58,0.95
2.75,0.48,2.61,0.94
2.88,0.47,2.61,0.94
2.8,0.47,2.54,0.94
2.89,0.47,2.58,0.94
2.95,0.46,2.56,0.94
2.88,0.47,2.66,0.94
2.56,0.48,2.55,0.96
2.62,0.49,2.56,0.96
2.71,0.49,2.54,0.95
3.12,0.49,2.58,0.94
2.95,0.51,2.6,0.93
2.26,0.52,2.58,0.94
2.73,0.53,2.54,0.93
2.94,0.53,2.58,0.91
2.94,0.51,2.58,0.9
2.8,0.5,2.59,0.89
2.77,0.49,2.55,0.88
2.9,0.48,2.61,0.88
2.84,0.47,2.56,0.87
2.85,0.46,2.63,0.88
2.78,0.45,2.56,0.89
2.74,0.44,2.57,0.89
2.82,0.43,2.61,0.9
2.83,0.43,2.6,0.91
2.78,0.42,2.52,0.92
2.84,0.41,2.55,0.91
2.81,0.4,2.53,0.9
2.84,0.39,2.56,0.89
2.83,0.39,2.6,0.89
2.89,0.39,2.6,0.89
2.87,0.38,2.64,0.9
2.79,0.38,2.56,0.92
2.73,0.38,2.53,0.92
2.79,0.37,2.53,0.91
2.84,0.36,2.58,0.89
2.85,0.36,2.59,0.89
2.81,0.35,2.58,0.89
2.82,0.34,2.61,0.89
2.8,0.34,2.57,0.89
2.8,0.33,2.55,0.89
2.8,0.33,2.55,0.88
2.79,0.32,2.58,0.87
2.83,0.32,2.61,0.87
2.81,0.31,2.68,0.89
2.81,0.3,2.57,0.92
2.83,0.3,2.48,0.93
2.83,0.29,2.55,0.91
2.78,0.29,2.58,0.9
2.87,0.28,2.6,0.89
2.84,0.28,2.54,0.87
2.78,0.28,2.58,0.86
2.78,0.27,2.62,0.84
2.84,0.26,2.61,0.84
2.81,0.26,2.65,0.85
2.83,0.26,2.61,0.87
2.79,0.26,2.5,0.87
