Ext Mean,Flex Mean,Ext Var,Flex Var,Gesture,,,,,1,2,3,4
0.51,0.49,0.39,0.04,R,,,,,1.16,0.88,1.18,0.59
0.5,0.43,0.28,0.03,R,,,,,1.19,0.83,1.25,0.33
0.42,0.39,0.21,0.03,,,,,,1.17,0.79,0.9,0.24
0.39,0.37,0.19,0.03,,,,,,0.93,0.65,0.45,0.18
0.35,0.35,0.16,0.02,,,,,,0.73,0.43,0.7,0.05
0.39,0.56,0.17,0.31,,,,,,1.12,0.39,1.11,0.03
0.7,1.13,0.13,0.59,,,,,,1.25,0.45,0.7,0.07
0.83,1.84,0.08,0.68,P,,,,,0.9,0.47,0.4,0.09
0.58,2.19,0.08,0.67,P,,,,,0.81,0.44,0.65,0.08
0.39,2.12,0.11,0.58,P,,,,,0.87,0.41,0.6,0.07
0.33,1.87,0.14,0.61,P,,,,,0.69,0.41,0.25,0.08
0.24,1.5,0.09,0.52,P,,,,,0.49,0.43,0.23,0.09
0.18,1.22,0.07,0.55,P,,,,,0.47,0.45,0.26,0.06
0.18,1.13,0.06,0.74,P,,,,,0.47,0.44,0.19,0.04
0.17,1.08,0.04,0.64,P,,,,,0.46,0.4,0.13,0.05
0.16,1.09,0.05,0.65,,,,,,0.36,0.37,0.12,0.04
0.16,1.11,0.06,0.7,,,,,,0.32,0.64,0.08,0.28
0.23,1.01,0.22,0.47,,,,,,0.52,1.01,0.09,0.45
0.88,0.74,1.25,0.22,R,,,,,0.88,1.05,0.08,0.35
1.41,0.54,1.64,0.06,R,,,,,1.06,0.92,0.04,0.25
1.25,0.58,0.82,0.04,R,,,,,0.89,0.84,0.04,0.2
0.98,0.6,0.39,0.03,R,,,,,0.6,0.76,0.04,0.22
0.78,0.59,0.47,0.03,R,,,,,0.42,0.75,0.04,0.3
0.68,0.61,0.44,0.03,R,,,,,0.29,0.79,0.04,0.28
0.56,0.62,0.28,0.02,R,,,,,0.19,0.71,0.04,0.18
0.5,0.61,0.33,0.02,R,,,,,0.15,0.64,0.03,0.15
0.51,0.58,0.35,0.03,,,,,,0.14,0.61,0.03,0.09
0.51,0.57,0.31,0.03,,,,,,0.12,0.59,0.03,0.09
0.44,0.55,0.23,0.02,,,,,,0.12,0.58,0.05,0.14
0.38,0.48,0.15,0.01,,,,,,1.21,0.61,2.37,0.2
0.33,0.6,0.09,0.19,,,,,,2.16,0.59,3.21,0.16
0.59,1.06,0.1,0.4,,,,,,1.81,0.47,1.53,0.06
0.89,1.44,0.1,0.51,P,,,,,1.47,0.4,0.87,0.05
0.73,1.56,0.08,0.5,P,,,,,1.23,0.38,0.51,0.04
0.45,1.51,0.07,0.43,P,,,,,1.04,0.38,0.58,0.05
0.31,1.38,0.06,0.43,P,,,,,0.92,0.39,0.52,0.05
0.26,1.28,0.07,0.36,P,,,,,0.8,0.39,0.4,0.03
0.24,1.21,0.1,0.38,P,,,,,0.65,0.36,0.3,0.03
0.21,1.11,0.08,0.34,P,,,,,0.65,0.35,0.43,0.04
0.19,1.01,0.04,0.29,,,,,,0.74,0.34,0.54,0.04
0.18,0.93,0.05,0.33,,,,,,0.62,0.31,0.32,0.03
0.15,0.93,0.04,0.58,,,,,,0.41,0.48,0.13,0.11
0.34,0.9,0.62,0.49,,,,,,0.43,0.86,0.12,0.31
1.03,0.68,1.53,0.1,S,,,,,0.79,1.06,0.11,0.49
1.45,0.64,1.34,0.07,S,,,,,1.16,0.97,0.07,0.38
1.26,0.73,0.57,0.06,S,,,,,1.11,0.91,0.06,0.27
0.97,0.69,0.32,0.04,S,,,,,0.77,0.89,0.07,0.26
0.69,0.63,0.22,0.03,S,,,,,0.53,0.77,0.07,0.18
0.52,0.64,0.17,0.03,S,,,,,0.36,0.78,0.05,0.25
0.45,0.65,0.23,0.04,S,,,,,0.25,0.8,0.05,0.24
0.41,0.62,0.2,0.04,S,,,,,0.2,0.74,0.06,0.15
0.36,0.56,0.15,0.03,,,,,,0.17,0.71,0.05,0.18
0.36,0.53,0.24,0.03,,,,,,0.16,0.71,0.05,0.29
0.34,0.58,0.32,0.09,,,,,,0.17,0.73,0.28,0.25
0.49,1.72,0.45,2.01,P,,,,,0.7,0.62,1.29,0.14
0.65,2.48,0.49,2.54,P,,,,,1.44,0.49,1.72,0.11
0.6,1.81,0.37,0.89,P,,,,,1.57,0.46,0.99,0.08
0.56,1.36,0.36,0.49,P,,,,,1.37,0.43,0.59,0.06
0.57,1.15,0.48,0.35,P,,,,,1.33,0.42,0.75,0.07
0.55,1.03,0.42,0.36,P,,,,,1.25,0.42,0.62,0.06
0.48,0.97,0.32,0.52,P,,,,,0.98,0.37,0.43,0.04
0.42,0.94,0.31,0.49,P,,,,,0.9,0.36,0.55,0.05
0.39,0.99,0.3,0.45,P,,,,,0.88,0.37,0.66,0.05
0.42,1.02,0.33,0.47,P,,,,,0.77,0.37,0.63,0.06
0.44,0.96,0.31,0.34,,,,,,0.79,0.39,0.55,0.06
0.37,0.91,0.24,0.32,,,,,,0.67,0.41,0.43,0.05
0.35,0.71,0.14,0.19,,,,,,0.47,0.65,0.31,0.33
0.57,0.77,0.25,0.29,,,,,,0.96,1.09,1.22,0.74
0.92,1.22,0.57,0.34,S,,,,,1.55,1.17,2.13,0.63
1.7,1.36,2.03,0.17,S,,,,,1.42,1,1.8,0.35
1.88,0.99,1.81,0.12,S,,,,,1.3,0.86,1.48,0.29
1.29,0.55,0.29,0.04,S,,,,,1.38,0.77,1.6,0.28
0.97,0.39,0.34,0.02,S,,,,,1.22,0.76,1.25,0.27
0.73,0.38,0.36,0.02,S,,,,,0.99,0.76,0.79,0.21
0.62,0.42,0.31,0.04,S,,,,,0.94,0.73,0.67,0.19
0.6,0.48,0.39,0.05,S,,,,,0.95,0.73,0.61,0.27
0.55,0.54,0.4,0.04,S,,,,,1,0.72,0.67,0.22
0.52,0.56,0.3,0.03,,,,,,0.93,0.64,0.61,0.12
0.45,0.54,0.17,0.02,,,,,,0.7,0.5,0.41,0.08
0.36,0.48,0.21,0.02,,,,,,1.11,0.41,1.37,0.04
0.38,0.48,0.26,0.13,,,,,,1.56,0.45,1.93,0.06
0.57,1.37,0.35,1.19,R,,,,,1.37,0.49,1.08,0.07
0.66,1.87,0.53,1.47,R,,,,,1.14,0.47,0.64,0.06
0.64,1.4,0.56,0.84,R,,,,,0.95,0.43,0.59,0.06
0.7,1.21,0.69,0.91,R,,,,,0.93,0.42,0.59,0.05
0.67,1.1,0.71,0.7,R,,,,,0.86,0.43,0.46,0.05
0.6,1.02,0.6,0.45,R,,,,,0.74,0.45,0.37,0.06
0.55,0.95,0.44,0.48,R,,,,,0.71,0.45,0.44,0.06
0.51,0.95,0.38,0.56,R,,,,,0.69,0.44,0.57,0.07
0.48,0.95,0.41,0.63,,,,,,0.68,0.42,0.5,0.05
0.5,0.95,0.31,0.7,,,,,,0.5,0.38,0.18,0.03
0.5,0.8,0.25,0.42,,,,,,0.53,0.7,0.5,0.4
0.75,0.94,0.23,0.32,,,,,,1.16,1.26,1.48,0.68
1.04,1.34,0.2,0.49,S,,,,,1.72,1.18,2.43,0.45
0.84,1.57,0.1,0.69,S,,,,,1.86,0.84,2.46,0.27
0.51,1.67,0.13,0.89,S,,,,,1.77,0.73,2.22,0.2
