,,Ext Raw,Ext Env,Flex Raw,Flex Env,,,,,,,,,,
,,0.61,4.06,6.5,4.96,,0.61,4.06,6.5,4.96,,2.83,3.42,5.97,4.25
,,2.7,4.13,5.64,4.96,,2.7,4.13,5.64,4.96,,3.33,3,5.16,4.28
,,1.57,3.77,6.03,4.85,,1.57,3.77,6.03,4.85,,2.14,2.73,5.27,4.37
,,2.2,3.54,5.51,4.89,,2.2,3.54,5.51,4.89,,0,2.96,5.47,4.36
,,2.46,3.5,5.73,4.72,,2.46,3.5,5.73,4.72,,1.38,2.93,5.79,4.35
,,1.61,3.31,4.74,4.61,,1.61,3.31,4.74,4.61,,1.14,2.81,5.5,4.18
,,2.27,3.26,6.08,4.56,,2.27,3.26,6.08,4.56,,2.16,2.92,5.53,4.12
,,4.02,3.31,5.56,4.61,,4.02,3.31,5.56,4.61,,2.28,3.04,5.24,4.05
,,3.9,3.26,3.59,4.61,,3.9,3.26,3.59,4.61,,0,2.98,4.69,4.15
,,1.01,3.29,5.77,4.66,,1.01,3.29,5.77,4.66,,1.99,2.72,4.97,4.27
,,3.83,3.26,5.7,4.56,,3.83,3.26,5.7,4.56,,2.28,2.45,6.55,4.35
,,2.71,3.31,5.62,4.56,,2.71,3.31,5.62,4.56,,1.28,2.38,5.39,4.35
,,3.01,3.4,5.47,4.46,,3.01,3.4,5.47,4.46,,4.85,2.54,5.86,4.3
,,2.24,3.24,5.55,4.41,,2.24,3.24,5.55,4.41,,1.74,2.55,5.75,4.29
,,1.97,3.11,5.6,4.41,,1.97,3.11,5.6,4.41,,2.81,2.75,5.39,4.24
,,1.44,3.19,5.9,4.34,,1.44,3.19,5.9,4.34,,2.98,2.38,5.89,4.23
,,1.11,3.43,4.67,4.3,,1.11,3.43,4.67,4.3,,0.88,2.44,5.46,4.2
,,3.98,3.42,4.45,4.29,,3.98,3.42,4.45,4.29,,2.97,2.31,6.25,4.26
,,3.62,3.59,5.4,4.31,,3.62,3.59,5.4,4.31,,3.57,2.52,5.98,4.31
,,1.86,3.35,5.33,4.23,,1.86,3.35,5.33,4.23,,4.38,2.81,6.06,4.38
,,2.26,3.3,6.78,4.21,,2.26,3.3,6.78,4.21,,1.58,2.68,5.57,4.4
,,0,3.22,6.05,4.37,,0,3.22,6.05,4.37,,2.04,2.86,5.51,4.28
,,2.8,3.38,5.42,4.56,,2.8,3.38,5.42,4.56,,2.89,2.63,5.11,4.16
,,3.25,3.23,5.6,4.51,,3.25,3.23,5.6,4.51,,3.78,2.47,6.48,4.17
,,3.71,3.16,5.28,4.36,,3.71,3.16,5.28,4.36,,2.72,2.48,5.5,4.23
,,2.58,2.95,5.58,4.3,,2.58,2.95,5.58,4.3,,3.81,2.19,5.61,4.12
,,3.48,2.77,5.64,4.23,,3.48,2.77,5.64,4.23,,1.59,3.14,4.93,4.17
,,3.51,3.01,5.71,4.17,,3.51,3.01,5.71,4.17,,2.72,2.99,5.55,4.1
,,1.93,2.82,5.9,4.18,,1.93,2.82,5.9,4.18,,0,3.27,5.13,4.11
,,3.23,2.92,3.95,4.34,,3.23,2.92,3.95,4.34,,2.66,3.38,5.38,4.17
,,2.76,3.07,5.68,4.46,,2.76,3.07,5.68,4.46,,2.53,2.88,5.55,4.15
,,4.56,2.82,5.49,4.37,,4.56,2.82,5.49,4.37,,2.65,2.54,5.4,4.21
,,3.76,3.23,5.44,4.25,,3.76,3.23,5.44,4.25,,1.87,2.37,5.39,4.31
,,3.18,2.93,5.23,4.16,,3.18,2.93,5.23,4.16,,2.69,2.23,5.53,4.18
,,3.99,2.76,4.44,4.17,,3.99,2.76,4.44,4.17,,2.8,1.95,4.37,4.12
,,2.95,2.82,5.66,4.23,,2.95,2.82,5.66,4.23,,2.52,1.79,5.46,4.04
,,1.74,2.49,5.49,4.19,,1.74,2.49,5.49,4.19,,2.82,1.54,5.5,3.91
,,1.16,2.39,5.1,4.11,,1.16,2.39,5.1,4.11,,2.47,1.38,5.52,3.81
,,1.96,2.22,5.39,4.17,,1.96,2.22,5.39,4.17,,2.61,1.27,5.49,3.76
,,3.5,2.04,5.62,4.27,,3.5,2.04,5.62,4.27,,2.61,1.09,5.45,3.69
,,3.38,2.08,5.62,4.19,,3.38,2.08,5.62,4.19,,2.24,1,5.42,3.64
,,1.93,1.89,5.01,4.1,,1.93,1.89,5.01,4.1,,2.74,0.92,5.52,3.59
