Ext Mean,Flex Mean,Ext Var,Flex Var,Ext Freq 2,Flex Freq 2,Ext Freq 1,Flex Freq 1,Gesture
0.06,0.19,0,0,48.74,50.45,101.23,50.53,
0.06,0.19,0,0,51.97,50.16,48.74,50.45,
0.06,0.2,0,0,105.92,49.35,51.97,50.16,
0.06,0.21,0,0,51.31,51.08,105.92,49.35,
0.06,0.2,0,0,52.6,49.4,51.31,51.08,
0.06,0.21,0,0,57.3,51.67,52.6,49.4,
0.06,0.21,0,0,51.43,51.48,57.3,51.67,
0.06,0.21,0,0,49.71,109.9,51.43,51.48,
0.06,0.22,0,0,51.24,51.79,49.71,109.9,
0.18,0.27,0.09,0.01,49.85,75.17,51.24,51.79,
0.19,0.37,0.09,0.03,93.42,76.31,49.85,75.17,
0.08,0.37,0,0.03,57.42,81.12,93.42,76.31,
0.06,0.31,0,0.02,200,53.29,57.42,81.12,
0.06,0.27,0,0.01,43.43,73.16,200,53.29,
0.06,0.24,0,0.01,51.57,51.54,43.43,73.16,
0.06,0.26,0,0.01,37.02,32.85,51.57,51.54,
0.06,0.26,0,0.01,200,45.94,37.02,32.85,
0.14,0.28,0.08,0.02,62.99,51.74,200,45.94,
0.58,0.55,0.66,0.31,87.29,43.12,62.99,51.74,
1.16,1.14,1.35,0.76,81.83,178.55,87.29,43.12,S
1.24,1.28,1.21,0.74,94.62,190.22,81.83,178.55,S
0.95,0.89,0.63,0.33,81.7,76.01,94.62,190.22,
0.72,0.65,0.4,0.1,64.18,49.55,81.7,76.01,
0.57,0.56,0.37,0.09,196.62,138.21,64.18,49.55,
