Env Ext Mean,Env Flex Mean,Raw Ext Var,Raw Flex Var,Label
1.04,0.7,0.54,0.27,Handshake
1.17,0.65,0.81,0.06,Peace
1.83,0.58,0.8999999999999999,0.03,Pinch
1.05,0.53,1.1400000000000001,0.09,Paper
1.72,1.39,0.78,0.03,Paper
0.76,0.78,0.5700000000000001,0.15000000000000002,Rock
0.25,0.48,0.15000000000000002,0.03,Thumb
1.62,0.92,1.1099999999999999,0.5700000000000001,Handshake
2.59,0.93,1.47,0.03,Paper
1.97,0.97,1.98,0.03,Pinch
1.44,0.96,1.47,0.03,Scissors
3.61,0.98,0.63,0.09,Peace
2.19,1.04,1.44,0.44999999999999996,Rock
0.48,1.56,0.24,0.6900000000000001,Rock
1.0,0.35,1.17,0.03,Pinch
1.77,1.04,2.2800000000000002,0.03,Paper
0.36,0.84,0.18,0.09,Rock
3.02,1.89,1.2000000000000002,0.15000000000000002,Peace
0.2,0.6,0.09,0.06,Rock
0.43,2.69,0.15000000000000002,4.08,Rock
3.95,0.4,0.44999999999999996,0.03,Thumb
0.86,1.71,0.51,0.21000000000000002,Handshake
1.34,0.88,2.0100000000000002,0.21000000000000002,Scissors
1.18,0.48,1.5,0.06,Scissors
1.63,0.47,1.47,0.09,Paper
1.24,0.73,0.99,0.03,Paper
1.5,0.39,0.42000000000000004,0.03,Thumb
4.01,0.67,0.75,0.06,Peace
0.76,1.0,0.09,0.15000000000000002,Rock
4.15,1.59,1.59,0.15000000000000002,Scissors
1.02,1.55,1.6500000000000001,0.06,Pinch
3.04,1.48,1.32,0.12,Paper
1.11,0.53,1.2000000000000002,0.06,Scissors
1.14,0.71,0.54,0.09,Thumb
2.06,0.52,0.51,0.03,Peace
3.19,0.88,0.54,0.27,Rock
0.95,1.36,0.27,0.48,Rock
0.86,0.91,0.75,0.15000000000000002,Scissors
4.75,0.92,1.3800000000000001,0.12,Peace
1.18,0.56,0.5700000000000001,0.09,Peace
0.83,0.68,0.75,0.06,Handshake
1.49,0.94,1.3800000000000001,0.06,Scissors
4.52,0.95,0.8699999999999999,0.12,Scissors
2.12,0.5,2.9699999999999998,0.03,Pinch
4.74,0.75,1.23,0.15000000000000002,Peace
0.41,1.2,0.21000000000000002,0.78,Rock
1.61,0.43,1.44,0.06,Paper
0.84,0.47,0.8999999999999999,0.03,Pinch
